OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
1,157,3,IN SERVICE,Y,100001,L,1,39821.3236837221
2,157,3,IN SERVICE,Y,100002,L,10,23594.3986954829
3,157,3,IN SERVICE,Y,100003,L,101,132393.841779118
4,157,3,IN SERVICE,Y,100203,L,346,30953.1670964295
5,157,3,IN SERVICE,Y,100205,L,348,74146.2336401347
6,157,3,IN SERVICE,Y,100210,L,36,60322.7220239618
7,157,3,IN SERVICE,Y,100214,E,372,94489.0245017642
8,157,3,IN SERVICE,Y,100219,L,4,62753.7829228708
9,157,3,IN SERVICE,Y,100223,L,43,36968.8593602378
10,157,3,IN SERVICE,Y,100224,L,44,39775.4584899237
11,157,3,IN SERVICE,Y,100225,L,45,62429.5675988084
12,157,3,IN SERVICE,Y,100004,L,105,35162.6418742639
13,157,3,IN SERVICE,Y,100005,L,106,100402.333267316
14,157,3,IN SERVICE,Y,100006,L,107,112080.804808126
15,157,3,IN SERVICE,Y,100009,L,11,33540.6182555456
16,157,3,IN SERVICE,Y,100011,L,111,238565.135087072
17,157,3,IN SERVICE,Y,100012,L,113,91278.8327415531
18,157,3,IN SERVICE,Y,100016,L,118,87472.9647019699
19,157,3,IN SERVICE,Y,100017,L,119,90127.1954585
20,157,3,IN SERVICE,Y,100018,L,12,25292.6750720013
21,157,3,IN SERVICE,Y,100023,L,124,120023.230197521
22,157,3,IN SERVICE,Y,100024,L,125,80583.6636055978
23,157,3,IN SERVICE,Y,100026,L,128,144312.042352809
24,157,3,IN SERVICE,Y,100028,L,13,37967.1088474815
25,157,3,IN SERVICE,Y,100030,L,131,108550.719580549
26,157,3,IN SERVICE,Y,100031,L,132,116969.922752352
27,157,3,IN SERVICE,Y,100039,L,14,42209.6310616512
28,157,3,IN SERVICE,Y,100042,L,148,55470.6794557629
29,157,3,IN SERVICE,Y,100045,L,150,194475.138693863
30,157,3,IN SERVICE,Y,100048,L,153,68564.8361046093
31,157,3,IN SERVICE,Y,100060,L,168,87742.4331264159
32,157,3,IN SERVICE,Y,100062,E,17,57230.9056159455
33,157,3,IN SERVICE,Y,100068,L,177,247549.949066436
34,157,3,IN SERVICE,Y,100072,L,181,111946.633506917
35,157,3,IN SERVICE,Y,100073,L,182,56033.5564435813
36,157,3,IN SERVICE,Y,100074,L,183,80199.1194109413
37,157,3,IN SERVICE,Y,100078,L,187,56148.1916362426
38,157,3,IN SERVICE,Y,100089,L,2,59157.6500030765
39,157,3,IN SERVICE,Y,100099,L,208,178008.552690521
40,157,3,IN SERVICE,Y,100101,E,21,97970.9296269116
41,157,3,IN SERVICE,Y,100101,L,21,87401.2435246284
42,157,3,IN SERVICE,Y,100104,L,212,128328.237601368
43,157,3,IN SERVICE,Y,100111,L,22,63020.5093542154
44,157,3,IN SERVICE,Y,100113,L,221,131529.133307532
45,157,3,IN SERVICE,Y,100132,L,24,80587.9750831555
46,157,3,IN SERVICE,Y,100133,L,240,120616.612017424
47,157,3,IN SERVICE,Y,100136,L,245,122851.120092088
48,157,3,IN SERVICE,Y,100137,L,246,84396.3991404876
49,157,3,IN SERVICE,Y,100139,L,249,125440.955771203
50,157,3,IN SERVICE,Y,100146,L,255,121592.984589527
51,157,3,IN SERVICE,Y,100148,L,257,212012.567242978
52,157,3,IN SERVICE,Y,100160,L,269,157855.183348374
53,157,3,IN SERVICE,Y,100161,L,27,34892.6608564614
54,157,3,IN SERVICE,Y,100162,L,271,189612.720634922
55,157,3,IN SERVICE,Y,100169,E,28,67039.3346567753
56,157,3,IN SERVICE,Y,100173,L,3,45512.5797375024
